"RegionName","State","Metro","CountyName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4300,4300,4000,4200,4300,4000,4100,4500,4000,4200,4200,4429,4400,4100,4000,4000,4200,4400,4500,4400,4500,4500,4496,4500,4495,4300,4200,4000,4200,4350,4250,4500,4947,4874.5,4599.5,4500
"Houston","TX","Houston","Harris",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2497.5,2472.5,2495,2500,2687.5,2500,2437.5,2500,2612.5,2445,2200,2495,2472.5,2700,2300,2150,2200,2500,2200,2100,2300,2400,2400,2450,2400
"Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2612.5,2600,2600,2500,2500,2500,2500,2500,2500,2500,2650,2500,2600,2500,2537.5,2500,2500,2500,2500,2400,2395,2500,2822.5,2725,2500,2700,2700,2700,2750,2595,2500,2500
"Las Vegas","NV","Las Vegas","Clark",4,,,,1795,1850,1900,1650,1800,1895,1895,1895,1995,1995,1985,1900,1750,1850,1697,1625,1650,1650,1650,1700,1650,1650,1650,1650,1699,1700,1700,1699.5,1695,1700,1700,1800,1795,1700,1700,1700,1750,1750,1750,1800,1750,1800,1800,1822.5,1775,1795,1799,1785,1800,1850,1850,1875,1945,1890,1902.5,1900,1800,1850,1957.5,1895,1992,1995,1995,2000,2087.5,1900,1965,1997.5,2000,1995,1895,1900,1962.5,2000,2100,2200,2100,2050,2100
"San Antonio","TX","San Antonio","Bexar",5,,,,,,,1950,1950,1897.5,1850,1997.5,1897.5,1775,1600,1722.5,1995,1995,1950,1850,1875,1850,1749,1700,1500,1597.5,1725,1825,1800,1800,1850,1900,1997.5,1995,1800,1895,1900,1872.5,1995,1850,1749,1700,1720,1900,1850,1799,1895,1895,1750,1750,1812.5,1900,1749,1972.5,1997.5,1900,1875,1850,1995,1800,1750,1750,1750,1799,1797.5,1950,1972.5,1722,1995,2100,1850,2100,1825,1995,1775,1995,1995,1995,1950,1995,1900,1950,1950
"Boston","MA","Boston","Suffolk",6,,,,,,,,,,,,,,,3900,3600,3750,3800,3900,3800,3800,3800,3900,3800,3800,3900,4100,4000,3900,3900,3800,3800,3800,3700,3750,3900,3900,4000,4200,4100,4100,4150,4000,3900,3800,3800,3800,4000,3900,4200,4400,4275,4200,4000,4000,3995,3900,3862.5,3800,3750,4000,4200,4500,4500,4400,4250,4200,4050,4000,4000,4000,4000,3900,4300,4600,4500,4500,4500,4400,4350,4300,4300
"Seattle","WA","Seattle","King",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,2997.5,2850,2675,2500,2845,2895,3124.5,3600,3500,3300,3500,3487.5,3075
"Milwaukee","WI","Milwaukee","Milwaukee",8,,,,,,,,,,,,,,,,,,,,,,,,,,,702.5,750,875,950,845,795,795,767,725,678,695,650,705,750,750,767,750,742.5,750,750,760,750,750,787.5,750,745,735,725,752.5,750,795,750,750,750,747.5,750,725,750,750,750,765,780,895,850,800,790,745,762.5,750,750,782.5,797.5,785,795,795,800
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",9,,,,,,,,,,,,,,,,,,,2400,2200,2250,2097.5,2200,2050,2025,2150,2195,2100,2022.5,2200,2250,2395,2250,2047.5,1990,1999.5,2295,2000,1895,1987.5,2000,2200,2300,2300,2247.5,2100,2295,2200,2200,2200,2247.5,2100,2100,2395,2395,2295,2150,2100,2095,2095,2100,2100,2200,2200,2495,2400,2350,2250,2395,2300,2395,2295,2095,2100,2250,2200,2250,2150,2500,2400,2425,2337.5
"Colorado Springs","CO","Colorado Springs","El Paso",10,,,,,,,,1872.5,1570,1500,1550,1595,1650,1595,1500,1500,1697.5,1875,1725,1662.5,1625,1650,1600,1600,1600,1600,1625,1650,1695,1795,1795,1650,1600,1650,1650,1650,1600,1650,1600,1650,1695,1700,1795,1850,1825,1875,1795,1750,1737.5,1700,1799.5,1850,1850,1972.5,1997.5,1950,1850,1895,1895,1800,1800,1772.5,1825,1800,1825,1825,1950,1895,1972.5,1972.5,1775,1800,1850,1997.5,1995,2050,2000,2100,2200,2175,2050,1995
"Buffalo","NY","Buffalo","Erie",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,663,651,650,700,700,700,660,700,762.5,795,795,750,762.5,800,772.5,750,750,750,800,800,800,800,800,800,900,900,985,900,1000,975,850,887.5,875,850,875,900,950,950,962.5,1000,1000,937.5
"Henderson","NV","Las Vegas","Clark",12,,,,,,,,,2295,2200,2097.5,2000,2150,2147.5,2100,2200,2200,2300,2100,2095,2000,2050,1900,1995,2074.5,2099.5,2200,2100,2050,2100,2000,2200,2200,2200,2195,2100,2185,2150,2097.5,2100,2014.5,2000,2000,1997.5,2000,2000,2000,1995,1950,2147.5,2000,2299,2100,2200,2395,2347.5,2400,2207.5,2247.5,2100,2000,2095,2095,2005,2100,2197.5,2075,2307.5,2250,2382,2100,2295,2400,2095,2195,2246,2295,2395,2340,2400,2402.5,2225
"Orlando","FL","Orlando","Orange",13,,,,,,,,,,,,,,,,,1775,1785,1785,1750,1785,1850,1900,1795,1700,1775,1725,1712,1750,1895,1800,1850,1850,1850,1895,1895,1850,1850,1850,1800,1800,1800,1850,1895,1895,1800,1800,1850,1850,1795,1800,1800,1837.5,1875,1895,1975,1937.5,1950,1925,1995,1875,1800,1900,1925,1895,1995,1900,1975,1996.5,1950,2095,2000,1872.5,1950,1975,1985,1925,1997.5,2059,2095,2100,2050
"New Haven","CT","New Haven","New Haven",14,,,,,,,,1150,1175,1150,1187.5,1222.5,1200,1112.5,1200,1112.5,1100,1250,1200,1200,1200,1200,1200,1112.5,1150,1150,1150,1150,1200,1175,1125,1167.5,1175,1200,1175,1137.5,1112.5,1100,1200,1185,1150,1200,1137.5,1197.5,1250,1200,1200,1200,1200,1185,1197.5,1200,1200,1200,1262.5,1275,1287.5,1350,1200,1200,1250,1250,1200,1225,1287.5,1375,1197.5,1275,1275,1250,1200,1300,1200,1267.5,1212.5,1275,1450,1500,1500,1400,1300,1300
"Cumming","GA","Atlanta","Forsyth",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2150,2150,2040,1962.5,2000,1950,2000,1962.5,1950,1962.5,1875,1775,1697.5,1825,1985,2225,2300,2200,2200,2197.5,2200,2200,2200,2200,1997.5,2100,2150,2275,2400,2250,2200,2047.5,2100,2197.5,2200,2100,2200,2200,2200,2395,2500,2372.5,2200,2325,2285,2225,2150,2100,2200,2225,2300,2350,2500,2500
"Waterbury","CT","New Haven","New Haven",16,775,750,750,799.5,750,762.5,750,750,725,720,750,795,775,775,800,787.5,800,785,762.5,775,775,775,775,775,795,795,775,775,775,797.5,800,800,800,825,800,800,825,800,800,800,800,800,800,825,800,800,825,850,850,825,825,850,850,850,825,850,850,850,825,850,850,850,850,850,800,825,800,825,800,825,825,825,825,825,800,850,850,825,850,850,850,850
"Somerville","MA","Boston","Middlesex",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3800,3800,3800,3600,3600,3800,3200,3200,3200,3750,3825,4200,4000,4000,3800,3450
"Eastvale","CA","Riverside","Riverside",18,,,,,,,2495,2500,2495,2425,2495,2500,2497.5,2495,2500,2500,2495,2487,2400,2450,2500,2500,2474.5,2500,2500,2450,2495,2450,2400,2400,2450,2425,2500,2497.5,2500,2480,2450,2450,2495,2500,2495,2495,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2597.5,2550,2600,2600,2600,2600,2600,2600,2650,2600,2600,2600,2650,2600,2600,2695,2600,2680,2685,2695,2780,2695,2725,2750,2800,2750,2750,2800,2800,2800
"Brookline","MA","Boston","Norfolk",19,,,,,,,,,,,,,,3600,4100,3975,4000,3700,4100,3600,3600,3200,3300,3695,3700,3700,3747.5,3800,3800,3800,3800,3800,3945,3850,3600,3697,3700,3900,4200,4500,4500,4500,4000,4200,4500,4300,4450,4000,4000,4000,4000,4000,4000,4000,3925,3800,3700,3695,3695,3600,3995,4200,4550,4800,4600,4350,4500,4300,4200,4500,4335,4200,3795,4295,4600,4600,4350,4400,4300,4200,4350,4250
